Agent,PR_URL,issues_count,changed_loc,issue_density
Claude_Code,https://github.com/567-labs/instructor/pull/1729,2,918.0,2.1786492374727673
Claude_Code,https://github.com/BeehiveInnovations/zen-mcp-server/pull/62,3,8.0,375.0
Claude_Code,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,2,3599.0,0.5557099194220616
Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,17,154.0,110.38961038961038
Claude_Code,https://github.com/Significant-Gravitas/AutoGPT/pull/10483,1,600.0,1.6666666666666667
Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,8,293.0,27.303754266211605
Claude_Code,https://github.com/rinadelph/Agent-MCP/pull/33,1,334.0,2.9940119760479043
Copilot,https://github.com/Ljzd-PRO/KToolBox/pull/278,3,255.0,11.76470588235294
Copilot,https://github.com/NewFuture/DDNS/pull/495,1,590.0,1.694915254237288
Copilot,https://github.com/NewFuture/DDNS/pull/500,1,24.0,41.666666666666664
Copilot,https://github.com/docling-project/docling/pull/1928,1,49.0,20.408163265306122
Copilot,https://github.com/gradio-app/gradio/pull/11601,5,84.0,59.52380952380952
Copilot,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/585,2,229.0,8.73362445414847
Copilot,https://github.com/microsoft/Qcodes/pull/7222,5,60.0,83.33333333333333
Copilot,https://github.com/microsoft/Qcodes/pull/7240,5,889.0,5.624296962879639
Copilot,https://github.com/microsoft/debug-gym/pull/179,17,387.0,43.927648578811365
Copilot,https://github.com/microsoft/fabric-cicd/pull/394,7,251.0,27.888446215139442
Copilot,https://github.com/microsoft/lisa/pull/3811,2,19.0,105.26315789473684
Copilot,https://github.com/microsoft/lisa/pull/3901,1,50.0,20.0
Copilot,https://github.com/mlflow/mlflow/pull/15987,7,161.0,43.47826086956522
Copilot,https://github.com/mlflow/mlflow/pull/16053,8,54.0,148.14814814814815
Copilot,https://github.com/mlflow/mlflow/pull/16878,1,51.0,19.607843137254903
Copilot,https://github.com/quantalogic/quantalogic/pull/64,11,369.0,29.81029810298103
Copilot,https://github.com/zfit/zfit/pull/644,3,1522.0,1.9710906701708277
Cursor,https://github.com/WorkflowAI/WorkflowAI/pull/449,16,46.0,347.82608695652175
Cursor,https://github.com/WorkflowAI/WorkflowAI/pull/489,4,7.0,571.4285714285714
Cursor,https://github.com/WorkflowAI/WorkflowAI/pull/538,1,111.0,9.00900900900901
Cursor,https://github.com/getsentry/sentry-python/pull/4459,233,299.0,779.2642140468228
Cursor,https://github.com/getsentry/sentry/pull/94261,1,5.0,200.0
Cursor,https://github.com/getsentry/sentry/pull/94264,2,29.0,68.9655172413793
Cursor,https://github.com/teaxyz/chai/pull/133,1,2761.0,0.36218761318362913
Cursor,https://github.com/willccbb/verifiers/pull/124,2,302.0,6.622516556291391
Devin,https://github.com/AgentOps-AI/agentops/pull/729,3,564.0,5.319148936170213
Devin,https://github.com/Osly-AI/PocketManus/pull/2,2,18.0,111.1111111111111
Devin,https://github.com/airbytehq/airbyte/pull/55709,1,7.0,142.85714285714286
Devin,https://github.com/airbytehq/airbyte/pull/62455,22,177.0,124.29378531073446
Devin,https://github.com/appdotbuild/agent/pull/114,3,338.0,8.875739644970414
Devin,https://github.com/crewAIInc/crewAI/pull/1814,7,517.0,13.539651837524179
Devin,https://github.com/crewAIInc/crewAI/pull/1818,1,191.0,5.235602094240838
Devin,https://github.com/crewAIInc/crewAI/pull/1820,1,209.0,4.784688995215311
Devin,https://github.com/crewAIInc/crewAI/pull/1899,1,242.0,4.132231404958678
Devin,https://github.com/crewAIInc/crewAI/pull/1937,3,261.0,11.494252873563218
Devin,https://github.com/crewAIInc/crewAI/pull/2063,3,189.0,15.873015873015872
Devin,https://github.com/crewAIInc/crewAI/pull/2352,5,986.0,5.070993914807302
Devin,https://github.com/crewAIInc/crewAI/pull/2594,2,67.0,29.850746268656717
Devin,https://github.com/crewAIInc/crewAI/pull/2946,1,96.0,10.416666666666666
Devin,https://github.com/crewAIInc/crewAI/pull/3060,5,293.0,17.064846416382252
Devin,https://github.com/crewAIInc/crewAI/pull/3150,2,122.0,16.393442622950822
Devin,https://github.com/marimo-team/marimo/pull/3618,1,40.0,25.0
Devin,https://github.com/marimo-team/marimo/pull/3729,2,46.0,43.47826086956522
Devin,https://github.com/marimo-team/marimo/pull/3768,7,29.0,241.3793103448276
Devin,https://github.com/marimo-team/marimo/pull/3966,2,78.0,25.64102564102564
Devin,https://github.com/reflex-dev/reflex-web/pull/1465,1,18.0,55.55555555555555
Devin,https://github.com/reflex-dev/reflex-web/pull/1531,1,12.0,83.33333333333333
